x1,x2,x3,x4,x5,categoria
-6.7391,-3.2408,3.5545,2.3307,9.0987,A
-1.7720,8.7928,8.5350,4.3114,-9.6108,A
5.9480,8.0151,0.4773,-6.0567,-6.3841,B
6.9079,-8.2552,0.9241,-5.9315,-3.9744,B
9.5431,-4.4675,3.6702,5.3477,-4.2354,A
-7.0688,5.4432,-0.9276,-4.2424,-5.7675,A
9.6724,2.9261,0.4613,-7.7161,8.2489,B
-3.3443,5.8148,8.1067,-5.8831,9.5590,B
7.8840,1.3225,4.4863,-4.4521,4.4741,B
-1.3773,-3.4902,3.9374,-2.3374,4.0903,B
7.0306,-4.5836,-5.8700,-3.5927,-1.5250,B
4.5685,-1.2503,3.8693,9.9077,-5.3257,A
5.1685,-0.4643,-1.6367,2.0332,-7.6368,A
-3.6927,-4.5210,2.2086,-5.5002,-9.0522,A
-9.1871,5.4908,3.6764,6.9912,3.5437,A
-8.9550,4.0226,0.9399,9.2359,-5.4043,A
-8.4438,6.6578,-1.5462,-0.6006,4.3391,A
-6.3418,-0.9795,6.0465,1.8817,8.0634,A
7.3076,-4.5301,5.9152,2.7229,-7.5782,A
-4.7275,5.0755,6.9190,-6.8975,4.0819,B
-3.4821,-6.3297,-8.0286,-8.0254,-0.7408,A
-7.6778,2.1200,6.5017,-1.5498,2.3934,A
6.7264,6.4816,-3.7293,1.3147,-0.4987,B
-7.6028,-6.0046,-8.3132,-5.5550,9.1577,B
8.1386,6.4673,6.9297,8.3892,-6.2368,A
1.6106,-2.4693,-6.1493,-7.2636,7.3695,B
2.7666,4.1640,7.8206,-6.2277,9.8597,B
-0.1741,-3.1196,8.7481,-4.7878,7.1871,B
-6.7580,2.0099,2.4075,-3.3500,2.2207,B
8.8026,-2.5319,-7.6150,-0.8438,-7.9522,A
3.1641,4.7915,-9.2919,6.6168,3.7114,A
-1.0812,-9.8842,-6.4264,-0.8948,6.2515,A
-9.0875,3.9405,-9.6554,0.6372,-4.3125,A
5.5888,-6.9091,7.0007,5.1532,9.5159,B
0.9358,-5.5903,4.8559,0.7164,-9.5656,A
-6.3823,-5.2062,3.8260,7.8635,-6.6612,A
-0.9745,2.6229,6.8001,7.5264,-0.6319,A
-6.5480,-6.0898,2.8233,0.0720,-8.7742,A
9.0492,3.2013,6.2407,-2.5180,-0.3707,B
-3.0864,-6.1594,8.3352,7.3805,1.2504,A
-3.1706,-4.1639,-7.3806,4.0545,-9.1063,A
2.1034,5.0351,-9.8901,2.5074,2.5831,B
-8.2545,4.4895,-5.8126,-1.0956,-4.6675,A
-7.8487,5.7481,3.4698,5.8985,-0.9920,A
-4.4771,3.7910,-2.8408,3.7388,-7.2956,A
-3.0082,6.8595,-4.7633,-5.9202,-2.2678,B
-2.0780,-7.4425,-0.7598,-4.9360,9.8239,B
-1.1714,-4.8478,-8.9840,6.1858,-1.0807,A
-5.3272,-5.3950,4.3832,1.3099,-1.4357,A
-7.4699,-8.0855,-2.6694,-7.9526,-9.8558,A
5.8633,-6.6196,5.6482,-3.6788,-0.5339,B
5.9507,2.0636,-0.7391,-4.3663,-8.8482,B
4.7655,6.3973,-4.5429,-4.2811,6.4917,B
-9.7216,-9.2033,6.8493,-2.3964,-2.5241,A
-3.2745,-4.3774,3.6693,-7.6004,7.4541,B
9.8728,6.0746,-5.6560,5.0949,6.8831,B
-7.7136,2.2414,-7.2618,3.0164,-6.5894,A
-7.8185,-2.7996,-3.5835,2.0125,0.4854,A
6.0519,-3.6747,-8.6248,4.3940,-3.8571,A
-0.7152,-7.2986,-7.2360,-1.7564,7.2021,B
-8.2723,-0.4062,-7.6715,-3.6239,6.9426,A
6.9572,-4.8608,7.6915,1.7708,1.0053,B
9.4580,2.5741,-1.6853,-0.4336,9.5448,B
-0.9206,-5.0296,-0.2379,-5.7157,0.7350,B
7.1852,-8.9829,-6.1679,4.8949,-6.3321,A
-5.8884,1.7866,-0.1058,-9.3710,-7.4973,A
5.4213,-1.1284,-4.6483,-4.7035,3.5685,B
3.4870,4.1383,3.0168,-0.4230,-1.8575,B
-4.5899,-5.5449,8.1527,-9.2611,3.6707,B
-5.4723,-0.7885,8.9077,9.1726,-5.0457,A
-9.0560,9.4197,3.3837,6.6030,6.5962,A
-1.0407,2.0736,-5.5665,-5.1428,0.4491,B
7.4657,-2.1101,-3.8097,-0.3817,-7.6988,A
0.5533,4.2542,-0.5121,5.8258,-5.9233,A
4.7610,6.4890,4.4379,5.0862,6.6915,B
